Date,Price,Open,High,Low,Vol.,Change %
"Jan 31, 2019",3437.2,3460,3484.7,3427,477.07K,-0.66%
"Feb 01, 2019",3467.9,3437.7,3485.7,3415.3,481.58K,0.90%
"Feb 02, 2019",3502.5,3467.9,3514.5,3447.8,443.60K,1.00%
"Feb 03, 2019",3459.1,3502.3,3507.8,3431.3,451.66K,-1.24%
"Feb 04, 2019",3462.8,3459,3479.7,3437.1,503.92K,0.11%
"Feb 05, 2019",3468.4,3463,3485.9,3450.3,460.95K,0.16%
"Feb 06, 2019",3404.3,3468.5,3478,3383.9,514.21K,-1.85%
"Feb 07, 2019",3397.7,3404.9,3421.8,3390.3,471.36K,-0.20%
"Feb 08, 2019",3661.7,3397.3,3721.1,3382.5,699.23K,7.77%
"Feb 09, 2019",3661.4,3661.6,3675.3,3633.2,454.80K,-0.01%
"Feb 10, 2019",3679,3661,3680.6,3617.1,501.90K,0.48%
"Feb 11, 2019",3631.8,3678.8,3681.1,3623.8,517.28K,-1.28%
"Feb 12, 2019",3632,3631.8,3656.4,3594.4,545.82K,0.01%
"Feb 13, 2019",3611.5,3632,3663.5,3599.2,558.02K,-0.56%
"Feb 14, 2019",3592.6,3611.5,3624.5,3580.2,498.14K,-0.52%
"Feb 15, 2019",3604.7,3592.6,3648.3,3581.4,516.21K,0.34%
"Feb 16, 2019",3616.8,3604.7,3641.9,3599.7,485.63K,0.34%
"Feb 17, 2019",3664.2,3616.8,3689.9,3607.9,580.51K,1.31%
"Feb 18, 2019",3896,3664.2,3903.7,3655.1,933.15K,6.33%
"Feb 19, 2019",3914.3,3896.4,3993.8,3863.7,1.44M,0.47%
"Feb 20, 2019",3972.4,3914.3,3983.6,3881.2,698.01K,1.48%
"Feb 21, 2019",3936.6,3972,4011.5,3909.2,668.16K,-0.90%
"Feb 22, 2019",3965.2,3937.4,3983.1,3931.7,649.55K,0.73%
"Feb 23, 2019",4120.4,3965.2,4152.6,3939.4,727.85K,3.91%
"Feb 24, 2019",3755.2,4120.5,4194.2,3738.7,977.78K,-8.86%
"Feb 25, 2019",3833.7,3755.7,3870.7,3753.8,765.87K,2.09%
"Feb 26, 2019",3810.3,3833.5,3845.5,3775,2.09M,-0.61%
"Feb 27, 2019",3814.6,3810.3,3836.4,3701.9,2.82M,0.11%
"Feb 28, 2019",3816.6,3814.6,3883.7,3783.3,2.31M,0.05%
"Mar 01, 2019",3821.9,3816.7,3855.8,3816.4,1.74M,0.14%
"Mar 02, 2019",3823.1,3821.9,3843.2,3783.6,1.61M,0.03%
"Mar 03, 2019",3809.5,3823.2,3836.6,3789.7,1.51M,-0.36%
"Mar 04, 2019",3715.9,3809.7,3828.4,3681.8,2.85M,-2.45%
"Mar 05, 2019",3857.2,3715.9,3873.2,3705.7,3.82M,3.80%
"Mar 06, 2019",3863,3857.2,3887.3,3816.7,2.52M,0.15%
"Mar 07, 2019",3875.1,3863.1,3907.4,3847.9,2.60M,0.32%
"Mar 08, 2019",3865.9,3875.1,3929,3810.7,2.96M,-0.24%
"Mar 09, 2019",3944.3,3865.6,3964,3859.7,2.48M,2.03%
"Mar 10, 2019",3915.2,3944.4,3944.5,3889.2,1.89M,-0.74%
"Mar 11, 2019",3870.3,3915.2,3935.5,3842.4,3.19M,-1.15%
"Mar 12, 2019",3886,3870.3,3900.1,3817.1,2.90M,0.41%
"Mar 13, 2019",3865.1,3885.9,3894.7,3847.4,2.28M,-0.54%
"Mar 14, 2019",3879,3865.1,3914.7,3828.4,2.86M,0.36%
"Mar 15, 2019",3924.3,3879,3935.7,3874.8,3.11M,1.17%
"Mar 16, 2019",4006.4,3924.4,4050.6,3923.7,3.46M,2.09%
"Mar 17, 2019",3981.5,4006.4,4009.8,3956.3,1.87M,-0.62%
"Mar 18, 2019",3990.2,3981.5,4032.3,3958.5,2.62M,0.22%
"Mar 19, 2019",4017,3990.2,4029.9,3972.4,2.99M,0.67%
"Mar 20, 2019",4041.2,4017,4050,3985.3,3.18M,0.60%
"Mar 21, 2019",3982.2,4041.2,4064,3923.8,3.88M,-1.46%
"Mar 22, 2019",3990.4,3982.2,4005.7,3971.8,2.83M,0.21%
"Mar 23, 2019",4002.5,3990.4,4018.2,3980.8,2.00M,0.30%
"Mar 24, 2019",3994.7,4002.6,4005.7,3967,2.04M,-0.20%
"Mar 25, 2019",3937,3994.8,4000.5,3897.9,2.86M,-1.44%
"Mar 26, 2019",3942.8,3937.1,3950.7,3899.9,2.53M,0.15%
"Mar 27, 2019",4041.7,3942.8,4043.3,3936.2,2.78M,2.51%
"Mar 28, 2019",4025.6,4041.7,4041.7,4008.4,2.11M,-0.40%
"Mar 29, 2019",4102.2,4025.7,4123.1,4022.6,3.30M,1.90%
"Mar 30, 2019",4111.8,4103.7,4138.1,4057.1,2.55M,0.23%
